baseline,metric,patheom_point,baseline_point,difference_patheom_minus_baseline,ci_level,ci_lower,ci_upper,ci_excludes_zero,direction
efficientnet_b0,roc_auc,0.954338717321296,0.9392297380501671,0.015108979271128975,0.95,0.013238786016406628,0.017052774031035403,True,PathEOM_higher_is_better
efficientnet_b0,pr_auc,0.9600421857409934,0.9452401216345288,0.014802064106464674,0.95,0.013058196954322877,0.01660206012912045,True,PathEOM_higher_is_better
efficientnet_b0,accuracy,0.88885498046875,0.862213134765625,0.026641845703125,0.95,0.023284149169921876,0.02996902465820312,True,PathEOM_higher_is_better
efficientnet_b0,balanced_accuracy,0.8888351416324152,0.862187045615782,0.026648096016633205,0.95,0.023289813767004244,0.029974881489832562,True,PathEOM_higher_is_better
efficientnet_b0,positive_f1,0.8833962989050393,0.853194602503658,0.030201696401381373,0.95,0.026415833627142043,0.033963020562019115,True,PathEOM_higher_is_better
efficientnet_b0,weighted_f1,0.8886130938155858,0.8616948044705883,0.026918289344997515,0.95,0.023524342815435993,0.030265931233771987,True,PathEOM_higher_is_better
efficientnet_b0,sensitivity,0.8424009281309153,0.8011235268974781,0.04127740123343715,0.95,0.036026134212615246,0.04683397447639981,True,PathEOM_higher_is_better
efficientnet_b0,specificity,0.935269355133915,0.9232505643340858,0.012018790799829149,0.95,0.007989140381916934,0.016289427124641546,True,PathEOM_higher_is_better
efficientnet_b0,mcc,0.7810699414608782,0.729865278810589,0.05120466265028911,0.95,0.0445509223922538,0.057954772088583476,True,PathEOM_higher_is_better

