baseline,metric,patheom_point,baseline_point,difference_patheom_minus_baseline,ci_level,ci_lower,ci_upper,ci_excludes_zero,direction
deit_tiny,roc_auc,0.954338717321296,0.882560013776424,0.07177870354487204,0.95,0.06835204222891515,0.07522912472012315,True,PathEOM_higher_is_better
deit_tiny,pr_auc,0.9600421857409934,0.8750156735033137,0.08502651223767976,0.95,0.08091024325189086,0.08909862812142774,True,PathEOM_higher_is_better
deit_tiny,accuracy,0.88885498046875,0.7396240234375,0.14923095703125,0.95,0.14456100463867189,0.15411376953125,True,PathEOM_higher_is_better
deit_tiny,balanced_accuracy,0.8888351416324152,0.7395461098766305,0.14928903175578467,0.95,0.14461770588072978,0.15417342085204128,True,PathEOM_higher_is_better
deit_tiny,positive_f1,0.8833962989050393,0.6814278246583526,0.20196847424668674,0.95,0.1956489884431704,0.2086163496163926,True,PathEOM_higher_is_better
deit_tiny,weighted_f1,0.8886130938155858,0.7306559762911649,0.157957117524421,0.95,0.15297394462913638,0.16305725227133488,True,PathEOM_higher_is_better
deit_tiny,sensitivity,0.8424009281309153,0.5571838554069732,0.28521707272394203,0.95,0.27727911094828106,0.2933397447639983,True,PathEOM_higher_is_better
deit_tiny,specificity,0.935269355133915,0.9219083643462876,0.013360990787627314,0.95,0.008417729241657035,0.018365261423952145,True,PathEOM_higher_is_better
deit_tiny,mcc,0.7810699414608782,0.5145800486016451,0.2664898928592331,0.95,0.25735804102401993,0.27594783441091725,True,PathEOM_higher_is_better

